train dataset: size=16000
  inp: shape=(3, 48, 48)
  coord: shape=(256, 2)
  cell: shape=(256, 2)
  gt: shape=(256, 3)
val dataset: size=1600
  inp: shape=(3, 48, 48)
  coord: shape=(256, 2)
  cell: shape=(256, 2)
  gt: shape=(256, 3)
model: #params=1.6M
epoch 1/50, train: loss=0.0600, val: psnr=32.7676, 6.4m 6.4m/5.4h
epoch 2/50, train: loss=0.0447, val: psnr=33.4168, 6.4m 12.8m/5.3h
epoch 3/50, train: loss=0.0425, val: psnr=33.7506, 6.4m 19.2m/5.3h
epoch 4/50, train: loss=0.0412, val: psnr=34.2931, 6.4m 25.5m/5.3h
epoch 5/50, train: loss=0.0409, val: psnr=34.3453, 6.3m 31.8m/5.3h
epoch 6/50, train: loss=0.0399, val: psnr=34.3418, 6.3m 38.2m/5.3h
epoch 7/50, train: loss=0.0390, val: psnr=33.7790, 6.3m 44.5m/5.3h
epoch 8/50, train: loss=0.0383, val: psnr=34.3377, 6.9m 51.4m/5.4h
epoch 9/50, train: loss=0.0386, val: psnr=35.0363, 6.7m 58.1m/5.4h
epoch 10/50, train: loss=0.0383, val: psnr=34.3292, 6.8m 1.1h/5.4h
epoch 11/50, train: loss=0.0379, val: psnr=34.1661, 6.8m 1.2h/5.4h
epoch 12/50, train: loss=0.0379, val: psnr=34.6830, 6.5m 1.3h/5.4h
epoch 13/50, train: loss=0.0379, val: psnr=34.0760, 6.0m 1.4h/5.4h
epoch 14/50, train: loss=0.0374, val: psnr=33.2884, 5.9m 1.5h/5.4h
epoch 15/50, train: loss=0.0374, val: psnr=35.1544, 6.1m 1.6h/5.3h
epoch 16/50, train: loss=0.0372, val: psnr=34.4223, 6.0m 1.7h/5.3h
epoch 17/50, train: loss=0.0370, val: psnr=35.2840, 6.1m 1.8h/5.3h
epoch 18/50, train: loss=0.0366, val: psnr=34.5718, 6.1m 1.9h/5.3h
epoch 19/50, train: loss=0.0368, val: psnr=36.0782, 6.1m 2.0h/5.3h
epoch 20/50, train: loss=0.0365, val: psnr=34.7593, 6.0m 2.1h/5.3h
epoch 21/50, train: loss=0.0365, val: psnr=34.4655, 5.9m 2.2h/5.3h
epoch 22/50, train: loss=0.0363, val: psnr=35.5863, 5.9m 2.3h/5.2h
epoch 23/50, train: loss=0.0366, val: psnr=35.6819, 5.8m 2.4h/5.2h
epoch 24/50, train: loss=0.0367, val: psnr=35.0692, 5.8m 2.5h/5.2h
epoch 25/50, train: loss=0.0366, val: psnr=34.4617, 5.8m 2.6h/5.2h
epoch 26/50, train: loss=0.0361, val: psnr=35.3086, 5.9m 2.7h/5.2h
epoch 27/50, train: loss=0.0360, val: psnr=35.6559, 5.8m 2.8h/5.2h
epoch 28/50, train: loss=0.0361, val: psnr=35.4079, 5.9m 2.9h/5.2h
epoch 29/50, train: loss=0.0364, val: psnr=35.4851, 5.8m 3.0h/5.2h
epoch 30/50, train: loss=0.0361, val: psnr=35.5960, 5.8m 3.1h/5.1h
epoch 31/50, train: loss=0.0364, val: psnr=35.8861, 5.8m 3.2h/5.1h
epoch 32/50, train: loss=0.0359, val: psnr=35.3577, 5.9m 3.3h/5.1h
epoch 33/50, train: loss=0.0357, val: psnr=35.9284, 5.8m 3.4h/5.1h
epoch 34/50, train: loss=0.0355, val: psnr=34.9643, 5.8m 3.5h/5.1h
epoch 35/50, train: loss=0.0357, val: psnr=35.3079, 5.8m 3.6h/5.1h
epoch 36/50, train: loss=0.0355, val: psnr=35.9128, 5.8m 3.7h/5.1h
epoch 37/50, train: loss=0.0355, val: psnr=35.4570, 5.8m 3.8h/5.1h
epoch 38/50, train: loss=0.0361, val: psnr=35.6209, 5.8m 3.9h/5.1h
epoch 39/50, train: loss=0.0356, val: psnr=35.9956, 5.8m 4.0h/5.1h
epoch 40/50, train: loss=0.0362, val: psnr=35.4138, 5.8m 4.1h/5.1h
epoch 41/50, train: loss=0.0355, val: psnr=36.0329, 5.8m 4.2h/5.1h
epoch 42/50, train: loss=0.0355, val: psnr=35.6770, 5.8m 4.2h/5.1h
epoch 43/50, train: loss=0.0358, val: psnr=35.8599, 5.7m 4.3h/5.1h
epoch 44/50, train: loss=0.0356, val: psnr=34.5136, 5.8m 4.4h/5.0h
epoch 45/50, train: loss=0.0353, val: psnr=35.4281, 5.8m 4.5h/5.0h
epoch 46/50, train: loss=0.0351, val: psnr=35.7334, 5.8m 4.6h/5.0h
epoch 47/50, train: loss=0.0355, val: psnr=35.9716, 5.8m 4.7h/5.0h
epoch 48/50, train: loss=0.0352, val: psnr=34.4266, 5.8m 4.8h/5.0h
epoch 49/50, train: loss=0.0354, val: psnr=35.6780, 5.7m 4.9h/5.0h
epoch 50/50, train: loss=0.0352, val: psnr=35.8414, 5.8m 5.0h/5.0h
